cell_name,cohort,has_c1_chg,has_c5_chg,has_c1_dis,has_c5_dis,dop_ok_c1_chg,dop_ok_c5_chg,dop_ok_c1_dis,dop_ok_c5_dis,fit_time_s_total,n_features_success,error_msg
AR4135,AR,true,true,true,true,true,true,true,true,7.542166192084551,6,""
AR4138,AR,true,true,true,true,true,true,true,true,9.17338977381587,6,""
AR4139,AR,true,true,true,true,true,true,true,true,5.223878111690283,6,""
AR4142,AR,true,true,true,true,true,true,true,true,10.34030606225133,6,""
AR4143,AR,true,true,true,true,true,true,true,true,15.814533330500126,6,""
AR4144,AR,true,true,true,true,true,true,true,true,10.31515871360898,6,""
AR4145,AR,true,true,true,true,true,true,true,true,13.13790575787425,6,""
AR4146,AR,true,true,true,true,true,true,true,true,7.4816954880952835,6,""
AR4147,AR,true,true,true,true,true,true,true,true,13.3967251367867,6,""
AR4148,AR,true,true,true,true,true,true,true,true,7.122715476900339,6,""
AR4149,AR,true,true,true,true,true,true,true,true,7.271251328289509,6,""
AR4162,AR,true,true,true,true,true,true,true,true,9.03032124787569,6,""
AR4163,AR,true,true,true,true,true,true,true,true,6.1329271756112576,6,""
AR4164,AR,true,true,true,true,true,true,true,true,5.520702883601189,6,""
AR4165,AR,true,true,true,true,true,true,true,true,6.677312690764666,6,""
AR4166,AR,true,true,true,true,true,true,true,true,11.436603844165802,6,""
AR4167,AR,true,true,true,true,true,true,true,true,11.591525327414274,6,""
AR4168,AR,true,true,true,true,true,true,true,true,4.4853824488818645,6,""
AR4169,AR,true,true,true,true,true,true,true,true,6.500403072685003,6,""
AR4170,AR,true,true,true,true,true,true,true,true,4.726701091974974,6,""
AR4177,AR,true,true,true,true,true,true,true,true,7.166858725249767,6,""
AR4179,AR,true,true,true,true,true,true,true,true,11.4847332239151,6,""
AR4181,AR,true,true,true,true,true,true,true,true,8.470643658190966,6,""
AR4184,AR,true,true,true,true,true,true,true,true,7.495027896016836,6,""
AR4185,AR,true,true,true,true,true,true,true,true,4.50749434158206,6,""
AR4187,AR,true,true,true,true,true,true,true,true,9.403692964464426,6,""
AR4188,AR,true,true,true,true,true,true,true,true,7.590176608413458,6,""
AR4191,AR,true,true,true,true,true,true,true,true,6.674158167093992,6,""
