seed,N,feature_set,cell_name,cohort,y_true,y_prob,y_pred
0,300,fs_a_plus_cap_c5,AR3962,AR,1,0.8331320910082177,1
0,300,fs_a_plus_cap_c5,AR4197,AR,1,0.9854334746444005,1
0,300,fs_a_plus_cap_c5,AR4569,AR,1,0.11982530495092919,0
0,300,fs_a_plus_cap_c5,AR4128,AR,0,0.8009889342580869,1
0,400,fs_a_only,AR3918,AR,1,0.7902933141896862,1
0,400,fs_a_only,AR4306,AR,0,0.15445886736008468,0
0,400,fs_a_only,AR4144,AR,0,0.892016352877367,1
0,400,fs_a_only,AR3923,AR,1,0.9056496391529518,1
0,400,fs_a_only,AR3977,AR,0,0.15512838843207313,0
0,400,fs_a_only,AR3964,AR,1,0.7718949497333112,1
0,400,fs_a_only,AR3973,AR,0,0.13464306675936666,0
0,400,fs_a_only,AR3982,AR,0,0.36479989999756074,0
0,400,fs_a_only,AR4123,AR,0,0.033048995901591514,0
0,400,fs_a_only,AR3870,AR,1,0.22505313116404344,0
0,400,fs_a_only,AR4271,AR,1,0.7065266594537177,1
0,400,fs_a_only,AR4198,AR,1,0.5886092587004581,1
0,400,fs_a_only,AR4042,AR,1,0.8760157014467406,1
0,400,fs_a_only,AR4098,AR,1,0.9119484703942657,1
0,400,fs_a_only,AR4184,AR,1,0.9049323746902975,1
0,400,fs_a_only,AR3993,AR,0,0.7457103538888047,1
0,400,fs_a_only,AR3941,AR,1,0.7357872328168332,1
0,400,fs_a_only,AR-3422,AR,1,0.5868853383623202,1
0,400,fs_a_only,AR3951,AR,1,0.7863528146854665,1
0,400,fs_a_only,AR4432,AR,0,0.044277437361154276,0
0,400,fs_a_only,AR3883,AR,1,0.6808577298780591,1
0,400,fs_a_only,AR4055,AR,1,0.7664557669013851,1
0,400,fs_a_only,AR4412,AR,0,0.11190706800980099,0
0,400,fs_a_only,AR4167,AR,0,0.5884385595912722,1
0,400,fs_a_only,AR4080,AR,1,0.7545968100107089,1
0,400,fs_a_only,AR4185,AR,1,0.9011719020662531,1
0,400,fs_a_only,AR3775,AR,0,0.6320568401168362,1
0,400,fs_a_only,0MC2-251028-002,0MC,1,0.6256192059857559,1
0,400,fs_a_only,AR4411,AR,0,0.22260285701293986,0
0,400,fs_a_only,AR4272,AR,1,0.5837564783428748,1
