cell_name,cohort,dqv_norm_c5_c1_var_log10,dqv_norm_c5_c1_min,dqv_norm_c5_c1_mean,dqv_norm_c5_c1_skew
AR3922,AR,-3.8362819698680024,-0.0189555047085046,0.0012772339195706224,-0.09098697963737142
AR3923,AR,-5.920423562507541,-0.007528334506408937,-0.00441397908212768,-0.2635890701061432
AR3924,AR,-5.619381831448373,-0.007971770007823202,-0.003991618919579569,-0.5012608140309123
AR3941,AR,-4.30395875927367,-0.009655173210696283,-0.00007407487284291449,0.5826499885545549
AR3942,AR,-4.228000344952651,-0.009445364603926231,0.002483244082991813,0.46941989631807934
AR3944,AR,-3.87889271109173,-0.018497395747085824,-0.0021804005150141475,0.2117703055159338
AR3949,AR,-3.903343333955341,-0.017381929138590418,0.0007345519836859485,-0.12504434107182333
AR3950,AR,-4.366958731643435,-0.00915206551637421,0.0007203965738771818,0.2285841075035373
AR3951,AR,-4.110500434905259,-0.011472241119729358,0.0008467116722289323,0.18011812759458767
AR3952,AR,-3.1082880419983248,-0.023310285175876015,0.006655209864349228,0.9108658974385311
AR3953,AR,-3.178804469094534,-0.02471465634947707,0.0050518702446143435,0.7740782172227387
AR3961,AR,-4.3032102100650595,-0.008077741315743044,0.0014182022942390053,0.8465119195038973
AR3962,AR,-5.113962603966719,-0.008770180308119836,-0.005559314715035972,1.0089342322549824
AR3963,AR,-5.394094680895946,-0.006103976317027831,-0.0025290089582117527,0.4652550205063644
AR3964,AR,-4.891738956982348,-0.008504111250032972,-0.0038301624832410975,0.411727307033761
AR3966,AR,-5.021861031127436,-0.0103874283947678,-0.0053785311014971525,0.0967441700696509
AR3967,AR,-4.766549467692526,-0.006860516933567567,-0.0006107751284567124,0.8159909972594809
AR3968,AR,-5.241387478924563,-0.00784713227882348,-0.004357152208961893,0.8557835356846387
AR3970,AR,-5.5981903525734635,-0.007224124996765313,-0.004445058040264885,0.6323196852259899
AR3971,AR,-5.755820569044184,-0.005883863387897686,-0.0029954212823996274,0.968024930868308
AR3972,AR,-5.22879388729795,-0.007799941643787461,-0.003337604681868048,0.5876602509085632
AR3973,AR,-3.5225669107013338,-0.03846970679825793,-0.022190762434258725,0.38645337254240675
AR3974,AR,-3.5027791628764033,-0.03999006174870762,-0.023857080071961263,0.3988817119826161
AR3975,AR,-3.9298147032906416,-0.007950467094226496,0.003645345430281604,1.0092556732889917
AR3976,AR,-3.900599787448184,-0.011556423975366182,0.002481317005772214,0.7514987532985118
AR3977,AR,-3.9633997589889893,-0.026277420381328725,-0.013559270730093255,0.03106395094722716
AR3978,AR,-4.802747116933226,-0.011505134868783094,-0.007202073409329698,0.5594895356351512
AR3979,AR,-4.094004936357672,-0.022181842657570797,-0.010957964555314276,0.04543060539787015
AR3980,AR,-4.699082280693868,-0.01173659270693657,-0.006139516076665489,0.056558699760746275
AR3981,AR,-4.566038528724704,-0.010630537485218094,-0.004435061300100219,0.08272240793646177
AR3982,AR,-3.680335963203789,-0.011645704586108207,0.0043372135362653285,0.7085459872002394
AR3983,AR,-4.225392849498477,-0.0205749966280959,-0.009977133580947303,-0.08260329096725619
AR3985,AR,-4.684481082335554,-0.013871482750928334,-0.007099072052893588,0.04283176142242164
AR3992,AR,-5.519340617660805,-0.0069012288823328246,-0.004928842076714113,0.8474938128546524
AR3993,AR,-5.518241320785994,-0.011825933962322692,-0.008232837827435705,1.0315437306140678
AR3994,AR,-5.387076491515935,-0.012082349255995562,-0.00892599754391044,0.8979100642427332
AR4015,AR,-4.127543901514712,-0.033231801634805436,-0.011460286904620469,-1.3640282406895319
AR4016,AR,-4.376344916152575,-0.027072790115828707,-0.010135264653269522,-1.4229698255547494
AR4018,AR,-4.279603527955468,-0.01994989615550586,-0.010622207350762199,0.39169678690213644
AR4019,AR,-4.304733521891555,-0.008191150160453272,0.004026582754210653,0.1998370262296812
AR4020,AR,-4.847078695285836,-0.008890866188493333,-0.003304130186833877,0.3001355266098758
AR4021,AR,-4.405827762531946,-0.0171902535666476,-0.009821529376662756,0.9130757455864524
AR4023,AR,-3.8779491428800092,-0.015488840578121884,0.007022528415515841,-0.12468636329237227
AR4024,AR,-5.056016885180153,-0.007580613106251806,-0.002263736669419827,-0.003664866599116077
AR4035,AR,-4.728873524174876,-0.008707215130147963,-0.003122945412506681,0.879945780900026
AR4037,AR,-4.725176249103142,-0.007828711679095695,-0.002179541787121278,0.9590325795362489
AR4038,AR,-3.840115539343779,-0.04517919610657225,-0.0218948790143457,-0.6318299101183511
AR4039,AR,-4.621160086961896,-0.007383522644935339,-0.0011202731105407714,0.9053658750163165
AR4041,AR,-4.638666882413333,-0.006848152830571369,0.00046772806470573436,0.2899358545208579
AR4042,AR,-4.915456869188887,-0.007324010988135767,-0.0021817745502709434,0.445157196162033
AR4053,AR,-5.734435638886349,-0.005020339123157652,-0.0021606621770440208,0.9687800135952565
AR4055,AR,-5.364318756933173,-0.012287967713203455,-0.007526800078649107,0.8418436624192207
AR4056,AR,-5.151771869965931,-0.005502115336798839,-0.0011111519304989285,0.9053550002770859
AR4057,AR,NaN,NaN,NaN,NaN
AR4064,AR,-5.76981580185582,-0.006396805460269725,-0.0037283682681539727,0.714837994011361
AR4065,AR,-5.841554667343075,-0.005978081962290536,-0.003687788684275152,1.1637644788156964
AR4068,AR,-5.335616838353297,-0.009937952109273944,-0.004565786668269524,-0.7589506934406165
AR4069,AR,-5.893293973314927,-0.00663993735718389,-0.0037787813942725917,-0.4577352657266384
AR4070,AR,-5.522156091112769,-0.007819828763816294,-0.003457407979956327,0.7682470414041738
AR4071,AR,-5.560797278449372,-0.006446001980024266,-0.002678225553722418,0.5147286476832474
AR4072,AR,-5.5923455545592,-0.0069346140642737066,-0.0032513192356726905,0.390388006407795
AR4078,AR,-5.184968207585963,-0.012564028361474234,-0.006264836074528295,-0.8156450105588698
AR4080,AR,-5.375441150242766,-0.005560723228828222,-0.0002869136246570519,-0.7107159565080791
AR4082,AR,-4.522015849857874,-0.006175215831736263,0.0010923138542873244,0.8506730358105096
AR4084,AR,-5.249400897004398,-0.014333058242319514,-0.007453297269535882,-0.3224453193199242
AR4085,AR,-4.985984745246827,-0.01121936321995164,0.0013707283193618222,-0.9084685370963416
AR4086,AR,-4.708514198933811,-0.00709114383785966,-0.0017088501808047278,0.8554074685882488
AR4088,AR,-3.3972562049845476,-0.049425070675157196,-0.030663006832293817,0.3239297073968261
AR4095,AR,-5.0611594303014975,-0.006427386126192295,-0.0020781753626929224,0.8704547584093324
