cell_name,cohort,dop_peak_theta_c1_chg,dop_peak_theta_c5_chg,dop_peak_theta_c1_dis,dop_peak_theta_c5_dis,dop_peak_theta_shift_chg_c1c5,dop_peak_theta_shift_dis_c1c5
AR3883,AR,54.0,52.02,72.0,68.04,-1.9799999999999969,-3.9599999999999937
AR3884,AR,56.16,51.84,72.54,70.02,-4.319999999999993,-2.5200000000000102
AR3885,AR,54.9,52.38000000000001,67.68,67.68,-2.519999999999989,0.0
AR3886,AR,54.18,53.099999999999994,67.32,67.68,-1.0800000000000054,0.36000000000001364
AR3887,AR,57.06,54.36,67.68,65.25000000000001,-2.700000000000003,-2.4299999999999926
AR3891,AR,56.52,52.2,70.74000000000001,70.02,-4.32,-0.7200000000000131
AR3908,AR,52.02,52.2,67.68,66.96,0.17999999999999972,-0.7200000000000131
AR3909,AR,52.02,52.02,70.02,70.02,0.0,0.0
AR3910,AR,52.02,52.38000000000001,70.02,68.22,0.36000000000000654,-1.7999999999999972
AR3911,AR,57.6,63.9,60.839999999999996,63.17999999999999,6.299999999999997,2.3399999999999963
AR3914,AR,54.18,63.54,56.34,56.34,9.36,0.0
AR3915,AR,56.52,59.39999999999999,64.62,63.17999999999999,2.8799999999999883,-1.440000000000012
AR3917,AR,47.52,47.52,66.42,67.68,0.0,1.2600000000000051
AR3918,AR,45.36,47.7,65.34,65.34,2.3400000000000034,0.0
AR3919,AR,52.02,47.52,67.68,67.68,-4.5,0.0
AR3920,AR,52.02,50.220000000000006,65.52,65.34,-1.7999999999999972,-0.1799999999999926
AR3921,AR,47.52,47.52,67.68,66.24,0.0,-1.440000000000012
AR3922,AR,45.9,47.52,65.34,67.68,1.6200000000000045,2.3400000000000034
AR3923,AR,49.68000000000001,47.7,65.34,63.17999999999999,-1.980000000000004,-2.160000000000011
AR3924,AR,49.86000000000001,45.9,65.34,63.17999999999999,-3.960000000000008,-2.160000000000011
AR3941,AR,57.42,76.32,65.52,65.16,18.89999999999999,-0.35999999999999943
AR3942,AR,55.44,52.739999999999995,65.34,68.04,-2.700000000000003,2.700000000000003
AR3944,AR,50.040000000000006,76.5,72.18,74.52,26.459999999999994,2.339999999999989
AR3949,AR,52.2,56.52,67.68,65.34,4.32,-2.3400000000000034
AR3950,AR,52.02,69.3,65.34,65.34,17.279999999999994,0.0
AR3951,AR,52.02,47.88,69.84,67.68,-4.140000000000001,-2.1599999999999966
AR3952,AR,52.02,74.16000000000001,49.68000000000001,47.52,22.140000000000008,-2.1600000000000037
AR3953,AR,52.38000000000001,74.88,49.68000000000001,49.68000000000001,22.499999999999986,0.0
AR3961,AR,49.86000000000001,47.52,60.839999999999996,63.9,-2.3400000000000034,3.0600000000000023
