cell_name,cohort,dqdv_peak_v_c5_dis,dqdv_peak_v_shift_c1c5_dis,dqdv_charge_discharge_hysteresis_c5,dqdv_cosine_sim_c1c5_dis
0MC6-260402-R007,0MC,3.536799999999886,-0.011999999999998678,0.2685000000000808,0.9992583271612072
0MC6-260402-R008,0MC,3.573689999999882,-0.00030999999999981043,0.23581000000009178,0.9984280633387337
0MC6-260402-R009,0MC,3.6229999999998763,0.008999999999999009,0.17450000000009336,0.9996990372528395
0MC6-260402-R010,0MC,3.608599999999878,0.016599999999998172,0.18770000000008924,0.9993518734388935
0MC6-260402-R011,0MC,3.6189999999998768,-0.016599999999998172,0.17370000000009167,0.9997158242371483
0MC6-260402-R012,0MC,3.616999999999877,0.0041999999999995374,0.17820000000009095,0.9995136433358651
0MC6-260402-R013,0MC,3.6287999999998752,0.007099999999998996,0.1591000000000995,0.9994811588390067
0MC6-260402-R014,0MC,3.5955999999998793,-0.015399999999998304,0.19800000000009144,0.9995255986210526
0MC6-260402-R015,0MC,3.5936999999998793,0.004799999999999471,0.19760000000008837,0.9997281844008636
0MC6-260403-R001,0MC,3.562799999999883,-0.005999999999999339,0.23020000000009144,0.9983039794705397
0MC6-260403-R002,0MC,3.6199999999998766,0.009399999999998965,0.1720000000000943,0.9991078815869914
0MC6-260403-R003,0MC,3.58799999999988,-0.0009999999999998899,0.21186000000009653,0.9989962676809215
0MC6-260430-R001,0MC,3.633859999999875,0.0010200000000000209,0.1523200000000986,0.9994900944141364
0MC6-260430-R002,0MC,3.6228599999998763,0.00027999999994055,0.12245000000010231,0.9991107870857638
0MC6-260430-R003,0MC,3.6476899999998738,0.012989999999998947,0.020640000000089476,0.9963358981500319
0MC6-260430-R004,0MC,3.658299999999872,0.021369999999997447,0.009000000000090491,0.9957961835676843
0MC6-260430-R005,0MC,3.6216299999998762,-0.01619999999999866,0.16716000000009368,0.9945475738847654
0MC6-260430-R006,0MC,3.624999999999876,0.0,0.12100000000010391,0.9990216887185319
0MC6-260513-R001,0MC,3.631399999999875,-0.007199999999999651,0.1431000000000977,0.9996496408846213
0MC6-260513-R002,0MC,3.6258999999998758,-0.01079999999999881,0.15510000000009683,0.9996513026606759
0MC6-260513-R003,0MC,3.6364999999998746,-0.011399999999998744,0.1420000000000905,0.9995885135463475
0MC6-260513-R004,0MC,3.6431999999998737,-4.440892098500626e-16,0.13840000000009312,0.9995818841612947
0MC6-260513-R005,0MC,3.6319999999998753,-0.0029999999999996696,0.152600000000096,0.9995487435277923
0MC6-260513-R006,0MC,3.6374999999998745,-0.004599999999999493,0.1326000000000951,0.9996579397304841
0MC6-260513-R007,0MC,3.6453999999998734,0.00469999999999926,0.13350000000009388,0.9996067788829326
0MC6-260513-R008,0MC,3.6359999999998744,-0.0007999999999999119,0.14020000000009247,0.9996518817813165
0MC6-260513-R009,0MC,3.634599999999875,-0.010399999999998855,0.1388000000000953,0.9996128567833062
0MC6-260514-R002,0MC,3.6385999999998746,-0.014399999999998414,0.14590000000008807,0.9996446419396019
0MC6-260514-R003,0MC,3.652999999999873,0.0,0.12430000000009223,0.9996727460675725
0MC6-260514-R004,0MC,3.6409999999998743,-0.007999999999999119,0.13190000000009272,0.9996179762761627
0MC6-260514-R005,0MC,3.6405999999998744,0.0,0.1366000000000902,0.9996838973444356
0MC6-260514-R006,0MC,3.652599999999873,0.008599999999999053,0.13080000000008685,0.9996724178448527
0MC8-251113-R001,0MC,3.6027999999998785,-0.0006999999999997009,0.22300000000009979,0.9996479403449484
0MC8-251113-R002,0MC,3.5915999999998798,-0.010799999999998366,0.2344000000001003,0.9995444722983636
0MC8-251209-R002,0MC,3.58669999999988,-0.015699999999998493,0.24190000000009926,0.9995308724101796
0MC8-251216-R001,0MC,3.604299999999878,-0.006399999999999295,0.21690000000009757,0.9996304462304462
AR-2736,AR,3.580999999999881,0.006199999999999317,0.21580000000004063,0.9990270166538292
