w_rsf,w_xgb_aft,w_lifelines_cox,w_lifelines_weibull_aft,c_mean,c_std
0.5,0.2,0.30000000000000004,0.0,0.7927317887616476,0.017584078040892584
0.30000000000000004,0.1,0.6000000000000001,0.0,0.7925537163951388,0.017860963893529796
0.6000000000000001,0.30000000000000004,0.0,0.1,0.7925494281308,0.01757027791133944
0.6000000000000001,0.30000000000000004,0.1,0.0,0.7921997029203394,0.01578740729948268
0.6000000000000001,0.2,0.2,0.0,0.7921068896838199,0.017076844699037905
0.6000000000000001,0.0,0.30000000000000004,0.1,0.792060007869112,0.021987682782874975
0.6000000000000001,0.1,0.2,0.1,0.7914538911248512,0.01922886426739517
0.7000000000000001,0.1,0.0,0.2,0.7914219377957129,0.018337555850647405
0.5,0.30000000000000004,0.2,0.0,0.7909608045328811,0.016590247631159516
0.30000000000000004,0.2,0.5,0.0,0.7909579193892932,0.016533101988203174
0.4,0.2,0.4,0.0,0.7909211186649737,0.016501361937622305
0.7000000000000001,0.0,0.1,0.2,0.7908400280723125,0.022644406395214225
0.2,0.1,0.7000000000000001,0.0,0.7907691429810831,0.016545059387702895
0.5,0.0,0.4,0.1,0.7907084935488471,0.022818203013167844
0.6000000000000001,0.2,0.1,0.1,0.7903630659707904,0.018196953065783925
0.5,0.5,0.0,0.0,0.7903348041308199,0.01342011640577313
0.4,0.30000000000000004,0.30000000000000004,0.0,0.7902319542085556,0.016631665884452747
0.5,0.4,0.1,0.0,0.7898795444351047,0.015488772249111465
0.5,0.30000000000000004,0.1,0.1,0.7896689173759188,0.016868839301970896
0.5,0.4,0.0,0.1,0.7896253927247748,0.015404943215670689
0.5,0.30000000000000004,0.0,0.2,0.7894235971865752,0.01777527412707902
0.6000000000000001,0.0,0.2,0.2,0.7890680792625847,0.022420816855679104
0.4,0.0,0.5,0.1,0.7890609104261708,0.02153090547979121
0.7000000000000001,0.0,0.0,0.30000000000000004,0.788776324900654,0.02199893707637761
0.5,0.2,0.2,0.1,0.7886645668973341,0.01885498273624061
0.6000000000000001,0.1,0.1,0.2,0.7885367007804328,0.018848689799174582
0.30000000000000004,0.0,0.6000000000000001,0.1,0.7884715519524633,0.02143343769409765
0.6000000000000001,0.2,0.0,0.2,0.7883026159017242,0.019276877698264926
0.6000000000000001,0.1,0.0,0.30000000000000004,0.7882890016823303,0.017105036252740586
0.5,0.1,0.30000000000000004,0.1,0.788223453175734,0.018104178490513923
0.4,0.1,0.4,0.1,0.7879721031353932,0.018731758128162235
0.30000000000000004,0.30000000000000004,0.4,0.0,0.7879445086513793,0.015348013378926209
0.4,0.4,0.1,0.1,0.7878669403711923,0.01508616023474657
0.4,0.4,0.2,0.0,0.7877925329674886,0.01536557237270777
0.2,0.2,0.6000000000000001,0.0,0.7877902578824005,0.015549285961126763
0.4,0.4,0.0,0.2,0.7876374577323544,0.01408125565423015
0.30000000000000004,0.2,0.4,0.1,0.7874954439555711,0.01756915576447406
0.4,0.2,0.30000000000000004,0.1,0.7874515671239818,0.017284367237916362
0.1,0.1,0.8,0.0,0.7873434311710815,0.014914650223164483
0.4,0.5,0.0,0.1,0.7872271416039484,0.014096565665352995
0.30000000000000004,0.30000000000000004,0.30000000000000004,0.1,0.7867506522570693,0.015577430293673237
0.5,0.0,0.30000000000000004,0.2,0.7866482863133493,0.021454418388237875
0.4,0.30000000000000004,0.2,0.1,0.7866113011775067,0.016310619991359375
0.4,0.5,0.1,0.0,0.7864041408191053,0.013758126981050816
0.5,0.2,0.1,0.2,0.7861827987769059,0.018679442814445113
0.4,0.6000000000000001,0.0,0.0,0.7861435733314129,0.015052954494055446
0.5,0.1,0.2,0.2,0.7859564968208942,0.01898792086331439
0.4,0.30000000000000004,0.1,0.2,0.7859488609265323,0.01733225315064663
0.5,0.2,0.0,0.30000000000000004,0.7859372867187805,0.016649652178167863
0.30000000000000004,0.1,0.5,0.1,0.7856151943097669,0.019552268780622644
0.2,0.2,0.5,0.1,0.7853968628517162,0.015971796304457497
0.30000000000000004,0.4,0.30000000000000004,0.0,0.7851697289345672,0.01568835995163103
0.30000000000000004,0.4,0.2,0.1,0.7850209819754138,0.016506097451978435
0.6000000000000001,0.0,0.1,0.30000000000000004,0.7848282840043408,0.02110129183744589
0.4,0.2,0.2,0.2,0.784747747650697,0.01822336963573303
0.6000000000000001,0.0,0.0,0.4,0.7845384831821878,0.01912977156844524
0.2,0.1,0.6000000000000001,0.1,0.7844483464530922,0.017903569659680138
0.4,0.1,0.30000000000000004,0.2,0.7843748086717095,0.01773738967450827
0.2,0.30000000000000004,0.5,0.0,0.7840512805003388,0.017406747924046256
0.30000000000000004,0.4,0.1,0.2,0.7840450316701734,0.016095036456495446
0.30000000000000004,0.5,0.1,0.1,0.783998793937881,0.016900016558420317
0.2,0.0,0.7000000000000001,0.1,0.7839653041543688,0.01989603678356779
0.4,0.30000000000000004,0.0,0.30000000000000004,0.7838863228039127,0.014580799261402036
